"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT"
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys",STPX725_Initiala,"Rezerva pentru baloane de sapun 1000 ml Pustefix bubble toys",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Frezerva-pentru-baloane-de-sapun-1000-ml-pustefix-bubble-toys-400432,https://img.nichiduta.ro/produse/2024/09/Rezerva-pentru-baloane-de-sapun-1000ml-Pustefix-Bubble-Toys-STPX725-400432-0.jpg,30
Nichiduta.ro,"jucarii de gradina","Pustefix Bubble Toys",STPX918_Initiala,"Jucarie baloane de sapun super-mix Pustefix bubble toys",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-baloane-de-sapun-super-mix-pustefix-bubble-toys-400426,https://img.nichiduta.ro/produse/2024/09/Jucarie-baloane-de-sapun-Super-Mix-Pustefix-Bubble-Toys-STPX918-400426-0.jpg,20
Nichiduta.ro,"Colaci si accesorii inot copii",BESTWAY,568485,"Set pentru scufundari masca snorkel aripioare Bestway",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fset-pentru-scufundari-masca-snorkel-aripioare-bestway-400263,https://img.nichiduta.ro/produse/2024/09/Set-pentru-scufundari-masca-snorkel-aripioare-Bestway-400263-4.png,89
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL3333111611,"Jucarie Tiny Love Soft book where do I travel Meadow Days",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-tiny-love-soft-book-where-do-i-travel-meadow-days-224047,https://img.nichiduta.ro/produse/2019/02/Carticica-moale-Meadow-Days-Tiny-Love-Unde-calatorim-224047-0.jpg,100
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL3333111681,"Jucarie carucior Tiny Love mini carusel Magical Tales",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-carucior-tiny-love-mini-carusel-magical-tales-224084,https://img.nichiduta.ro/produse/2019/02/Jucarie-carucior-Mini-Tiny-Love-Strage-Si-Pleaca-Magical-Tales-224084-0.jpg,100
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL3333111391,"Jucarie Jitter Tiny Love Thomas The Rabbit",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-jitter-tiny-love-thomas-the-rabbit-191842,https://img.nichiduta.ro/produse/2018/02/Jucarie-zornaitoare-Meadow-Days-Iepurasul-Thomas-Tiny-Love-191842-0.jpg,60
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL3333111401,"Jucarie Wind Chime Tiny Love Thomas The Rabbit",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-wind-chime-tiny-love-thomas-the-rabbit-185328,https://img.nichiduta.ro/produse/2018/02/Jucarie-Meadow-Days-Iepurasul-Thomas-Tiny-Love-185328-4.jpg,60
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL3333111861,"Jucarie Carucior Tiny Love Elizabeth The Panda",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-carucior-tiny-love-elizabeth-the-panda-400422,https://img.nichiduta.ro/produse/2024/09/Jucarie-Carucior-Tiny-Love-Elizabeth-The-Panda-400422-1.png,100
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL3333111811,"Jucarie zornaitoare Tiny Love Janice The Koala Boho Chic",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-zornaitoare-tiny-love-janice-the-koala-boho-chic-400419,https://img.nichiduta.ro/produse/2024/09/Jucarie-zornaitoare-Tiny-Love-Janice-The-Koala-Boho-Chic-400419-1.png,100
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL3333111371,"Jucarie Jitter Tiny Love Christopher The Fox",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-jitter-tiny-love-christopher-the-fox-400344,https://img.nichiduta.ro/produse/2024/09/Jucarie-Jitter-Tiny-Love-Christopher-the-fox-400344-1.png,60
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL3333111801,"Jucarie muzicala Tiny Love David The Sloth Boho Chic",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-muzicala-tiny-love-david-the-sloth-boho-chic-400418,https://img.nichiduta.ro/produse/2024/09/Jucarie-muzicala-Tiny-Love-David-The-Sloth-Boho-Chic-400418-8.png,100
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL3333111381,"Jucarie Wind Chime Tiny Love Christopher The Fox",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-wind-chime-tiny-love-christopher-the-fox-400347,https://img.nichiduta.ro/produse/2024/09/Jucarie-Wind-Chime-Tiny-Love-Christopher-The-Fox-400347-1.png,60
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL3333111341,"Jucarie pentru carucior Tiny Love mini carusel Meadow Days",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-pentru-carucior-tiny-love-mini-carusel-meadow-days-400341,https://img.nichiduta.ro/produse/2024/09/Jucarie-pentru-carucior-Tiny-Love-mini-carusel-Meadow-days-400341-1.png,100
Nichiduta.ro,"accesorii carucioare copii","TINY LOVE",TL33311099,"Jucarie pentru carucior Tiny Love mini carusel Tiny Princess Tales",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fjucarie-pentru-carucior-tiny-love-mini-carusel-tiny-princess-tales-400275,https://img.nichiduta.ro/produse/2024/09/Jucarie-carucior-Tiny-Love-mini-carusel-Pack--go-Tiny-Princess-Tales-400275-1.png,100
Nichiduta.ro,Decoratiuni,"Friendlies Plush",ST18297_Ren,"Decoratiune maner usa Craciun 26 cm Friendlies plush ren",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fdecoratiune-maner-usa-craciun-26-cm-friendlies-plush-ren-400478,https://img.nichiduta.ro/produse/2024/09/Decoratiune-Maner-Usa-Craciun-26-cm-Friendlies-Plush-ST18297-400478-0.png,20
Nichiduta.ro,Decoratiuni,"Friendlies Plush","ST18297_Mos Craciun","Decoratiune maner usa Craciun 26 cm Friendlies plush mos craciun",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fdecoratiune-maner-usa-craciun-26-cm-friendlies-plush-mos-craciun-400481,https://img.nichiduta.ro/produse/2024/09/Decoratiune-Maner-Usa-Craciun-26-cm-Friendlies-Plush-ST18297-400481-0.png,20
Nichiduta.ro,Decoratiuni,"Friendlies Plush","ST18297_Om de Zapada","Decoratiune maner usa Craciun 26 cm Friendlies plush om de zapada",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fdecoratiune-maner-usa-craciun-26-cm-friendlies-plush-om-de-zapada-400479,https://img.nichiduta.ro/produse/2024/09/Decoratiune-Maner-Usa-Craciun-26-cm-Friendlies-Plush-ST18297-400479-0.png,20
Nichiduta.ro,Decoratiuni,"GIMI GYM",1817,"Instalatie de Craciun perdea ploaie alb rece 120 leduri interconectabila",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Finstalatie-de-craciun-perdea-ploaie-alb-rece-120-leduri-interconectabila-400411,https://img.nichiduta.ro/produse/2024/09/Instalatie-de-Craciun-perdea-ploaie-alb-rece-120-leduri-3x1M-3035W-interconectabila-400411-0.jpg,69
Nichiduta.ro,Decoratiuni,"GIMI GYM",1825,"Instalatie de Craciun perdea ploaie albastra 240 leduri interconectabila",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Finstalatie-de-craciun-perdea-ploaie-albastra-240-leduri-interconectabila-400410,https://img.nichiduta.ro/produse/2024/09/Instalatie-de-Craciun-perdea-ploaie-albastra-240-leduri-5x1M-3036B-interconectabila-400410-0.jpg,115
Nichiduta.ro,Decoratiuni,"GIMI GYM",1426,"Instalatie de Craciun perdea ploaie multicolora 120 leduri interconectabila",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Finstalatie-de-craciun-perdea-ploaie-multicolora-120-leduri-interconectabila-400417,https://img.nichiduta.ro/produse/2024/09/Instalatie-de-Craciun-perdea-ploaie-multicolora-120-leduri-3x1M-3035M-interconectabila-400417-0.jpg,69
Nichiduta.ro,Decoratiuni,"GIMI GYM",2479,"Instalatie de Craciun interconectabila perdea alba 240 leduri",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Finstalatie-de-craciun-interconectabila-perdea-alba-240-leduri-400408,https://img.nichiduta.ro/produse/2024/09/Instalatie-de-Craciun-interconectabila-perdea-alba-5-m-x-1-m-240-leduri-8037W-400408-0.jpg,109
Nichiduta.ro,Decoratiuni,GimiHome,22410,"Vaza din sticla Pasabahce Flora",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Fvaza-din-sticla-pasabahce-flora-400407,https://img.nichiduta.ro/produse/2024/09/Vaza-din-sticla-Pasabahce-Flora-43966-400407-0.jpg,18
Nichiduta.ro,Decoratiuni,GimiHome,23945,"Instalatie liniara de Craciun lumina led alb calda cu incarcare solara 100 leduri",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Finstalatie-liniara-de-craciun-lumina-led-alb-calda-cu-incarcare-solara-100-leduri-400404,https://img.nichiduta.ro/produse/2024/09/Instalatie-liniara-de-Craciun-lumina-led-alb-calda-cu-incarcare-solara-100-leduri-400404-1.png,45
Nichiduta.ro,Decoratiuni,"GIMI GYM",3079,"Instalatie de Craciun tip turturi cu lumina led rosie franjuri 144 leduri",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Finstalatie-de-craciun-tip-turturi-cu-lumina-led-rosie-franjuri-144-leduri-400397,https://img.nichiduta.ro/produse/2024/09/Instalatie-de-Craciun-tip-turturi-cu-lumina-led-rosie-franjuri-144-leduri-45M-6004R-400397-0.jpg,54
Nichiduta.ro,Decoratiuni,GimiHome,4716,"Instalatie de Craciun liniara alb calda 16 m 200 leduri",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Finstalatie-de-craciun-liniara-alb-calda-16-m-200-leduri-400392,https://img.nichiduta.ro/produse/2024/09/Instalatie-de-Craciun-liniara-alb-calda-16-m-200-leduri-400392-2.png,30
Nichiduta.ro,Decoratiuni,"GIMI GYM",37385,"Instalatie de Craciun tip perdea franjurata cu lumina led alba 240 leduri",//profitshare.ro/lps/Zkq/K79/?redirect=https%3A%2F%2Fwww.nichiduta.ro%2Finstalatie-de-craciun-tip-perdea-franjurata-cu-lumina-led-alba-240-leduri-400395,https://img.nichiduta.ro/produse/2024/09/Instalatie-de-Craciun-tip-perdea-franjurata-cu-lumina-led-alba-240-leduri-5M-9014W-400395-0.jpg,72
