"Advertiser name",Category,Manufacturer,"Product code","Product name","Product affiliate link","Product picture","Price with VAT","Price with discount, with VAT"
Gimihome.ro,"NEW PRODUCTS",Beorol,ARC102122,"Razuitor universal, BEOROL",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F12652-razuitor-universal-beorol.html,http://gimihome.ro/img/p/4/2/2/0/5/42205.jpg,57.21,
Gimihome.ro,"NEW PRODUCTS",Beorol,ARC102120,"Razuitor lama trapez, 65 mm, BEOROL",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F380%2F12650-razuitor-lama-trapez-65-mm-beorol.html,http://gimihome.ro/img/p/4/2/1/9/9/42199.jpg,35.65,
Gimihome.ro,"Triciclete pentru copii","Burak Toys",41368,"Tricicleta fara pedale, Spider, multicolor",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F48%2F1595-tricicleta-fara-pedale-spider-multicolor.html,http://gimihome.ro/img/p/4/6/3/2/4632.jpg,74.88,
Gimihome.ro,"Diverse jucarii fetite",Simba,S105733524,"Set Simba Steffi Love Mermaid Family papusa Steffy 29 cm, papusa Kevin 29 cm si accesorii",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F89%2F5364-set-simba-steffi-love-mermaid-family-papusa-steffy-29-cm-papusa-kevin-29-cm-si-accesorii.html,http://gimihome.ro/img/p/2/0/6/9/4/20694.jpg,147.6,122.81
Gimihome.ro,"Diverse jucarii fetite",Simba,S105731539,"Papusa Simba Evi Love 12 cm Evi's Beetle cu masina, catelus si accesorii",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F89%2F4917-papusa-simba-evi-love-12-cm-evi-s-beetle-cu-masina-catelus-si-accesorii.html,http://gimihome.ro/img/p/1/8/5/0/5/18505.jpg,98.4,81.4
Gimihome.ro,"Alte Sporturi/Articole sportive pentru aer liber/Piscine gonflabile",BSTWAY,ARC8050153,"Piscina PVC pentru copii, rotunda, transparenta, 183x38 cm, Bestway Odyssey",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F454%2F16086-piscina-pvc-pentru-copii-rotunda-transparenta-183x38-cm-bestway-odyssey.html,http://gimihome.ro/img/p/5/2/2/4/2/52242.jpg,148.65,
Gimihome.ro,"Alte Sporturi/Articole sportive pentru aer liber/Piscine gonflabile",BSTWAY,ARC8050150,"Piscina gonflabila, 262x157x46 cm, BestwayBig Lagoon Family",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F454%2F16084-piscina-gonflabila-262x157x46-cm-bestwaybig-lagoon-family.html,http://gimihome.ro/img/p/5/2/2/2/8/52228.jpg,191.71,
Gimihome.ro,"Alte Sporturi/Articole sportive pentru aer liber/Piscine gonflabile",BSTWAY,ARC8050109,"Piscina gonflabila pentru copii,baschet, 251x168x102 cm,BestwayBasketball",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F454%2F16081-piscina-gonflabila-pentru-copiibaschet-251x168x102-cmbestwaybasketball.html,http://gimihome.ro/img/p/5/2/2/1/0/52210.jpg,339.23,
Gimihome.ro,"Articole pentru petrecere","Mirific Party",89136,"Set pentru petrecere copii, Bebelus albastru, 36 piese, ochelari, coifuri, pahare, farfurii, paie si suflatori",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F29%2F1500-set-pentru-petrecere-copii-bebelus-albastru-36-piese-ochelari-coifuri-pahare-farfurii-paie-si-suflatori.html,http://gimihome.ro/img/p/4/3/4/9/4349.jpg,61,
Gimihome.ro,"Articole pentru petrecere","Mirific Party",98617,"Set pentru petrecere copii, Police, 36 piese, ochelari, coifuri, pahare, farfurii, paie si suflatori",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F29%2F1498-set-pentru-petrecere-copii-police-36-piese-ochelari-coifuri-pahare-farfurii-paie-si-suflatori.html,http://gimihome.ro/img/p/4/3/4/1/4341.jpg,61,
Gimihome.ro,"Galeti si recipiente depozitare alimente",TUFFEX,98148,"Cutie pentru sandwich de copii, Batman, plastic galben, 15x14x9 cm, Tuffex 509-50",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F59%2F912-cutie-pentru-sandwich-de-copii-batman-plastic-galben-15x14x9-cm-tuffex-509-50.html,http://gimihome.ro/img/p/2/2/1/4/2214.jpg,19,
Gimihome.ro,"Tarcuri copii","BJ PLASTIK",73444,"Tarc de joaca pentru copii, modular, Colorful Nest, 130 x 85 x 60 cm, 10 piese, multicolor",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F72%2F529-tarc-de-joaca-pentru-copii-modular-colorful-nest-130-x-85-x-60-cm-10-piese-multicolor.html,http://gimihome.ro/img/p/1/1/6/8/1168.jpg,631,
Gimihome.ro,"Hartie igienica",GimiHome,10874,"Hartie igienica, Perfex Pure White, 3 straturi alba, 10 role/set",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F108%2F1914-hartie-igienica-perfex-pure-white-3-straturi-alba-10-roleset.html,http://gimihome.ro/img/p/5/7/5/4/5754.jpg,14,
Gimihome.ro,"Produse zootehnice",Sterk,71277,"Hranitoare din plastic, 50 cm, pentru gaina, prepelita, curca, STERK",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F57%2F278-hranitoare-din-plastic-50-cm-pentru-gaina-prepelita-curca-sterk.html,http://gimihome.ro/img/p/6/1/6/616.jpg,14,
Gimihome.ro,"Produse zootehnice",Sterk,2331,"Hranitoare din plastic, 10L, pentru pui de gaina, prepelita, curca, STERK",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F57%2F276-hranitoare-din-plastic-10l-pentru-pui-de-gaina-prepelita-curca-sterk.html,http://gimihome.ro/img/p/6/1/2/612.jpg,30,
Gimihome.ro,"Inaltatoare si taburete copii",Sterk,49346,"TABURET RATAN STERK 38.5 X 45 CM",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F30%2F535-taburet-ratan-sterk-385-x-45-cm.html,http://gimihome.ro/img/p/1/1/8/1/1181.jpg,29.9,
Gimihome.ro,"Cutii depozitare copii",OEM,99905,"Cutie depozitare 33 l cu capac incorporat din plastic transparenta",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F32%2F1314-cutie-depozitare-33-l-cu-capac-incorporat-din-plastic-transparenta.html,http://gimihome.ro/img/p/3/6/1/5/3615.jpg,93,
Gimihome.ro,"Cutii depozitare copii",OEM,93096,"Cutie depozitare 26 L cu capac incorporat, din plastic transparenta",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F32%2F1313-cutie-depozitare-26-l-cu-capac-incorporat-din-plastic-transparenta.html,http://gimihome.ro/img/p/3/6/1/3/3613.jpg,59.9,
Gimihome.ro,"Cutii depozitare copii",OEM,90324,"Cutie depozitare 10L cu capac incorporat, din plastic TRASPARENTA",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F32%2F1310-cutie-depozitare-10l-cu-capac-incorporat-din-plastic-trasparenta.html,http://gimihome.ro/img/p/3/6/0/3/3603.jpg,38,
Gimihome.ro,"Cadouri pentru colegi",nobrand,AU-AATOM-14,"Difuzor de arome Palma cu efect de scoica",//profitshare.ro/lps/8NF/K79/?redirect=https%3A%2F%2Fgimihome.ro%2F313%2F6185-difuzor-de-arome-palma-cu-efect-de-scoica.html,http://gimihome.ro/img/p/2/3/6/5/4/23654.jpg,165.9,
